"lr_pair","ligand_gene_symbol","receptor_gene_symbol","ligand_gene_id","receptor_gene_id","ligand_ensembl_protein_id","receptor_ensembl_protein_id","ligand_ensembl_gene_id","receptor_ensembl_gene_id","evidence"
"Bmp8a_Tgfbr2","Bmp8a","Tgfbr2",12163,21813,"ENSMUSP00000037779","ENSMUSP00000062333","ENSMUSG00000032726","ENSMUSG00000032440","28465413"
"Bmp8a_Bmpr2","Bmp8a","Bmpr2",12163,12168,"ENSMUSP00000037779","ENSMUSP00000084701","ENSMUSG00000032726","ENSMUSG00000067336","28465413"
"Gdf7_Acvr2a","Gdf7","Acvr2a",238057,11480,"ENSMUSP00000038301","ENSMUSP00000067305","ENSMUSG00000037660","ENSMUSG00000052155","16049014"
"Gdf7_Bmpr2","Gdf7","Bmpr2",238057,12168,"ENSMUSP00000038301","ENSMUSP00000084701","ENSMUSG00000037660","ENSMUSG00000067336","16603567"
"Serpine1_Lrp1b","Serpine1","Lrp1b",18787,94217,"ENSMUSP00000039586","ENSMUSP00000054275","ENSMUSG00000037411","ENSMUSG00000049252","12194987"
"Serpine1_Lrp2","Serpine1","Lrp2",18787,14725,"ENSMUSP00000039586","ENSMUSP00000079752","ENSMUSG00000037411","ENSMUSG00000027070","8626514"
"Serpine1_Lrp1","Serpine1","Lrp1",18787,16971,"ENSMUSP00000039586","ENSMUSP00000044004","ENSMUSG00000037411","ENSMUSG00000040249","25694133,29930084"
"Serpine1_Vldlr","Serpine1","Vldlr",18787,22359,"ENSMUSP00000039586","ENSMUSP00000127329","ENSMUSG00000037411","ENSMUSG00000024924","10504332,7657671"
"Ccl5_Gpr75","Ccl5","Gpr75",20304,237716,"ENSMUSP00000039600","ENSMUSP00000105057","ENSMUSG00000035042","ENSMUSG00000043999","29772059"
"Ccl5_Ccr4","Ccl5","Ccr4",20304,12773,"ENSMUSP00000039600","ENSMUSP00000062677","ENSMUSG00000035042","ENSMUSG00000047898","24218476"
"Ccl5_Ccrl2","Ccl5","Ccrl2",20304,54199,"ENSMUSP00000039600","ENSMUSP00000107519","ENSMUSG00000035042","ENSMUSG00000043953","21056554"
"Ccl5_Ccr5","Ccl5","Ccr5",20304,12774,"ENSMUSP00000039600","ENSMUSP00000107069","ENSMUSG00000035042","ENSMUSG00000079227","11254730"
"Ccl5_Ackr1","Ccl5","Ackr1",20304,13349,"ENSMUSP00000039600","ENSMUSP00000045134","ENSMUSG00000035042","ENSMUSG00000037872","10699158"
"Ccl5_Ackr2","Ccl5","Ackr2",20304,59289,"ENSMUSP00000039600","ENSMUSP00000050119","ENSMUSG00000035042","ENSMUSG00000044534","10699158,24218476"
"Ccl5_Ackr4","Ccl5","Ackr4",20304,252837,"ENSMUSP00000039600","ENSMUSP00000075507","ENSMUSG00000035042","ENSMUSG00000079355","21056554"
"Nodal_Acvr2b","Nodal","Acvr2b",18119,11481,"ENSMUSP00000039653","ENSMUSP00000126108","ENSMUSG00000037171","ENSMUSG00000061393","17616715"
"Nodal_Acvr2a","Nodal","Acvr2a",18119,11480,"ENSMUSP00000039653","ENSMUSP00000067305","ENSMUSG00000037171","ENSMUSG00000052155","17616715"
"Npnt_Itgb1","Npnt","Itgb1",114249,16412,"ENSMUSP00000040071","ENSMUSP00000087457","ENSMUSG00000040998","ENSMUSG00000025809","11470831"
"Lman1_Mcfd2","Lman1","Mcfd2",70361,193813,"ENSMUSP00000040140","ENSMUSP00000121820","ENSMUSG00000041891","ENSMUSG00000024150","23852824"
"Tnfsf10_Tnfrsf11b","Tnfsf10","Tnfrsf11b",22035,18383,"ENSMUSP00000040271","ENSMUSP00000078705","ENSMUSG00000039304","ENSMUSG00000063727","10770955"
